epoch,train_accuracy,validation_accuracy,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
15,0.11656,0.1214,1.36,4,9,13,17,21,25,29,33,38,42,47,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
16,0.11656,0.1214,1.44,4,9,13,17,21,25,29,33,38,42,47,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
17,0.11656,0.1214,1.5,4,9,13,17,21,25,29,33,38,42,47,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
18,0.11656,0.1214,1.57,4,9,13,17,21,25,29,33,38,42,47,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
19,0.11656,0.1214,1.65,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
20,0.11656,0.1214,1.73,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
21,0.11656,0.1214,1.79,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
22,0.11656,0.1214,1.87,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
23,0.11656,0.1214,1.95,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
24,0.11656,0.1214,2.02,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
25,0.11656,0.1214,2.08,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
26,0.11656,0.1214,2.14,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,91,96,100,105,109,113,117,121,125
27,0.11907,0.1214,2.21,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,91,96,100,105,109,113,117,121,125
28,0.12526,0.12551,2.29,4,9,13,17,21,25,29,33,38,42,47,51,55,58,64,67,72,76,79,84,88,91,96,100,105,109,113,117,121,125
29,0.13442,0.13992,2.35,4,9,13,17,21,25,29,33,38,42,47,50,55,58,64,67,72,76,79,83,88,91,96,100,105,109,113,117,121,125
30,0.14564,0.16049,2.41,4,9,13,17,20,25,29,33,38,42,47,50,55,58,64,67,72,76,79,83,88,91,95,100,105,109,113,117,121,125
31,0.15274,0.16461,2.48,4,9,13,17,20,25,29,34,38,42,46,50,55,58,64,67,72,76,78,83,88,91,95,100,105,109,113,117,121,125
32,0.1635,0.16872,2.56,4,9,13,17,20,25,29,34,38,42,46,50,56,57,64,67,72,76,78,83,88,91,95,100,105,109,113,117,121,125
33,0.17449,0.1749,2.64,4,9,13,17,20,25,29,34,38,42,46,50,56,57,64,67,72,76,78,83,88,91,95,100,105,109,113,117,121,125
34,0.18296,0.18107,2.71,4,9,13,17,20,25,29,34,38,42,46,50,56,57,64,67,72,76,78,83,88,91,95,100,105,109,113,117,121,125
35,0.20128,0.20988,2.78,4,9,13,17,20,24,29,34,38,42,46,50,56,57,64,67,72,76,78,83,88,91,95,99,105,109,113,117,121,125
36,0.24067,0.24691,2.84,4,9,13,17,20,24,29,34,38,42,46,50,56,57,64,67,72,76,78,83,88,91,95,99,105,109,113,117,121,125
37,0.27822,0.29424,2.91,4,9,13,17,20,24,29,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,109,113,117,121,125
38,0.31921,0.33128,2.98,4,9,13,17,20,24,29,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,109,113,117,121,125
39,0.34463,0.35391,3.04,4,9,13,17,20,24,29,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
40,0.36478,0.3786,3.11,4,9,13,17,20,24,29,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
41,0.38127,0.38477,3.18,5,9,13,18,20,24,29,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
42,0.39592,0.40535,3.26,5,9,13,18,20,24,29,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
43,0.39569,0.41152,3.33,5,9,13,18,20,24,30,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
44,0.40027,0.41152,3.4,5,9,13,18,20,24,30,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
45,0.40211,0.41152,3.48,5,9,13,18,20,24,30,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
46,0.406,0.41975,3.57,5,9,13,18,20,24,30,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
47,0.40783,0.42181,3.65,5,9,13,18,20,24,30,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
48,0.41104,0.4321,3.71,5,9,13,18,20,24,30,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
49,0.41333,0.4321,3.78,5,9,13,18,20,24,30,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
50,0.41814,0.43416,3.85,5,9,13,18,20,24,30,34,38,42,47,50,56,57,64,67,72,76,78,83,88,91,95,99,105,110,113,117,121,125
51,0.4202,0.44239,3.94,5,9,13,18,20,24,30,34,38,41,47,50,56,57,64,66,72,76,78,83,88,91,95,99,105,110,113,117,121,125
52,0.42501,0.44239,4.02,5,9,13,18,20,24,30,34,38,41,47,49,56,57,64,66,72,76,78,82,88,91,95,99,105,110,113,117,121,125
53,0.42775,0.44033,4.08,5,9,13,18,20,24,30,34,38,41,47,49,56,57,64,66,72,76,78,82,88,91,95,99,105,110,113,117,121,125
54,0.42981,0.44239,4.15,5,9,13,18,20,24,30,34,38,41,47,49,56,57,64,66,72,76,78,82,88,91,95,99,105,110,113,117,121,125
55,0.43302,0.4465,4.21,5,9,13,18,20,24,30,34,38,41,47,49,56,57,64,66,72,76,78,82,88,91,95,99,105,110,113,117,121,125
56,0.43668,0.45267,4.28,5,9,13,18,20,24,30,34,38,41,47,49,56,57,64,66,72,76,78,82,88,91,95,99,105,110,113,117,121,125
57,0.43989,0.45267,4.34,5,9,13,18,20,24,30,34,38,41,47,49,56,58,65,66,72,76,78,82,88,91,95,99,105,110,113,117,121,125
58,0.44332,0.45679,4.41,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
59,0.44836,0.46091,4.48,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
60,0.45684,0.45473,4.57,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
61,0.46279,0.45473,4.66,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
62,0.46645,0.46296,4.74,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
63,0.47126,0.46502,4.81,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
64,0.47172,0.46914,4.87,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
65,0.47103,0.46708,4.97,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
66,0.47447,0.46914,5.05,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,99,105,110,113,117,121,125
67,0.47264,0.47942,5.11,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
68,0.46806,0.47737,5.18,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
69,0.46966,0.48148,5.24,5,9,13,18,20,24,30,34,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
70,0.46668,0.47531,5.3,5,9,13,18,20,24,30,35,38,41,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
71,0.46279,0.47531,5.36,5,9,13,18,20,24,30,35,38,40,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
72,0.45775,0.47119,5.42,5,9,13,18,20,24,30,35,38,40,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
73,0.45569,0.46708,5.49,5,9,14,18,20,24,30,35,38,40,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
74,0.46187,0.46708,5.56,5,9,14,18,20,24,30,35,38,40,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
75,0.45981,0.46502,5.63,5,9,14,18,20,24,30,35,38,40,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
76,0.45729,0.45473,5.7,5,9,14,18,20,24,30,35,38,40,47,49,57,58,65,66,72,76,78,82,88,91,94,98,105,110,113,117,121,125
77,0.45638,0.44033,5.8,5,9,14,18,20,24,30,35,38,40,47,49,57,58,65,65,72,76,78,82,88,91,94,98,105,110,113,117,121,125
78,0.45615,0.4321,5.86,5,9,14,18,20,24,31,35,38,40,47,49,57,58,65,65,72,76,78,82,88,91,94,98,105,110,113,117,121,125
79,0.45111,0.41975,5.94,5,9,14,18,20,24,31,35,38,40,47,49,57,59,65,65,73,76,78,82,88,91,94,98,105,110,113,117,121,125
80,0.44928,0.42181,6.01,5,9,14,18,20,24,31,35,38,40,47,49,57,59,65,65,73,76,78,82,88,91,94,98,105,110,113,117,121,125
81,0.44561,0.41358,6.08,5,9,14,18,20,24,31,35,38,40,47,49,57,59,65,65,73,76,78,82,88,91,94,98,105,110,113,117,121,125
82,0.44401,0.41152,6.15,5,9,14,18,20,24,31,35,38,40,47,49,57,59,65,65,73,76,78,82,88,91,94,98,105,110,113,117,120,125
83,0.4392,0.41152,6.24,5,9,14,18,20,24,31,35,38,40,47,49,57,59,65,65,73,76,78,82,89,91,94,98,105,110,113,117,120,125
84,0.43646,0.40535,6.32,5,9,14,18,20,24,31,35,38,40,47,49,57,59,65,65,73,76,78,82,89,91,94,98,105,110,113,117,120,125
85,0.43508,0.40535,6.4,5,9,14,18,20,24,31,35,38,40,47,49,57,59,65,65,73,76,78,82,89,91,94,98,105,110,114,117,120,125
86,0.43348,0.40329,6.5,5,9,14,18,20,24,31,35,38,40,47,49,58,59,65,65,73,76,78,82,89,91,94,98,105,110,114,117,120,125
87,0.43302,0.40535,6.56,5,9,14,18,20,24,31,35,38,40,47,49,58,59,65,65,73,76,78,82,89,91,93,98,105,110,114,117,120,125
88,0.43302,0.41152,6.63,5,9,14,18,20,24,31,35,38,40,47,49,58,59,65,65,73,76,78,82,89,91,93,98,105,110,114,117,120,125
89,0.43394,0.41152,6.7,5,9,14,18,20,24,31,35,38,40,47,49,58,59,65,65,73,76,78,82,89,91,93,98,105,110,114,117,120,125
90,0.43371,0.4177,6.76,5,9,14,18,21,24,31,36,38,39,47,49,58,59,65,65,73,76,78,82,89,91,93,98,105,110,114,117,120,125
91,0.43348,0.42387,6.82,5,9,14,18,21,24,31,36,38,39,47,49,58,59,65,65,73,76,78,82,89,91,93,98,105,110,114,117,120,125
92,0.43462,0.42387,6.89,5,9,14,18,21,24,31,36,38,39,47,49,58,59,65,65,73,76,78,82,89,90,93,98,105,110,114,117,120,125
93,0.436,0.42387,6.96,5,9,14,18,21,24,31,36,38,39,47,49,58,59,65,65,73,76,78,82,89,90,93,98,105,110,114,117,120,125
94,0.43737,0.42593,7.03,5,9,14,18,21,24,31,36,38,39,47,49,58,59,65,65,73,76,78,82,89,90,93,98,105,110,114,117,120,125
95,0.43783,0.42593,7.11,5,9,14,18,21,24,31,36,38,39,47,49,58,59,65,65,73,76,78,82,89,90,93,98,105,110,114,117,120,125
96,0.43966,0.42798,7.19,5,9,14,19,21,24,31,36,38,39,47,49,58,59,65,65,73,76,78,82,89,90,93,98,105,110,114,117,120,125
97,0.44332,0.43416,7.26,5,9,14,19,21,24,31,36,38,39,47,49,58,59,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
98,0.44768,0.43827,7.35,5,9,14,19,21,24,31,36,38,39,47,49,58,59,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
99,0.4518,0.44239,7.41,5,9,14,19,21,24,31,36,38,39,47,49,58,59,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
100,0.45615,0.4465,7.49,5,9,14,19,21,24,31,36,38,39,47,49,58,59,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
101,0.45775,0.44856,7.56,5,9,14,19,21,24,31,36,38,39,47,49,59,59,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
102,0.45981,0.44856,7.62,5,9,14,19,21,24,31,36,38,39,47,49,59,59,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
103,0.46027,0.45267,7.68,5,9,14,19,21,24,31,36,38,39,47,49,59,60,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
104,0.46302,0.45267,7.75,5,9,14,19,21,24,31,36,38,39,47,49,59,60,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
105,0.46462,0.45267,7.81,5,9,14,19,21,24,31,36,38,39,47,49,59,60,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
106,0.46737,0.45679,7.87,5,9,14,19,21,24,31,36,38,39,47,49,59,60,65,64,73,76,78,82,89,90,93,98,105,110,114,117,120,125
107,0.46806,0.45679,7.94,5,9,14,19,21,24,31,36,38,39,47,49,59,60,65,64,73,76,78,82,89,90,93,97,106,110,114,117,120,125
108,0.46966,0.45885,8.0,5,9,14,19,21,24,31,36,38,39,47,49,59,60,65,64,73,76,78,82,90,90,93,97,106,110,114,117,120,125
109,0.47126,0.46296,8.07,5,9,14,19,21,24,32,36,38,39,47,49,59,60,65,64,73,76,78,82,90,90,93,97,106,110,114,117,120,125
110,0.47218,0.46708,8.14,5,9,14,19,21,24,32,37,38,38,47,49,59,60,65,64,73,76,78,82,90,90,93,97,106,110,114,117,120,125
111,0.47378,0.47119,8.2,5,9,14,19,21,24,32,37,38,38,47,49,59,60,65,64,73,76,78,82,90,90,93,97,106,110,114,117,120,125
112,0.47355,0.46914,8.27,5,9,14,19,21,24,32,37,38,38,47,49,59,60,65,64,73,76,78,82,90,90,93,97,106,110,114,117,120,125
113,0.4747,0.46914,8.34,5,9,14,19,21,24,32,37,38,38,47,49,59,60,65,64,73,76,78,82,90,90,93,97,106,110,114,117,120,125
114,0.47401,0.47119,8.42,5,9,14,19,21,24,32,37,38,38,47,49,59,60,65,64,73,76,78,82,90,90,93,97,106,110,114,117,120,125
115,0.47401,0.47119,8.49,5,9,14,19,21,24,32,37,38,38,47,49,59,60,65,64,73,76,78,82,90,90,93,97,106,110,114,117,120,125
116,0.47332,0.47119,8.56,5,9,14,19,21,24,32,37,38,38,47,49,59,60,65,63,73,76,78,82,90,90,93,97,106,110,114,117,120,125
117,0.47355,0.47119,8.63,5,9,14,19,21,24,32,37,38,38,47,49,60,60,65,63,73,76,78,82,90,90,93,97,106,110,114,117,120,125
118,0.47218,0.47119,8.69,5,9,14,19,21,24,32,37,38,38,47,49,60,60,64,63,73,76,78,82,90,90,93,97,106,110,114,117,120,125
119,0.47172,0.46914,8.77,5,9,14,19,21,24,32,37,38,38,47,49,60,60,64,63,73,76,78,82,90,90,93,97,106,110,114,117,120,125
120,0.4708,0.46914,8.83,5,9,14,19,21,24,32,37,38,38,47,49,60,60,64,63,73,76,78,82,90,90,92,97,106,110,114,117,120,125
121,0.46989,0.46708,8.91,5,9,14,19,21,24,32,37,38,38,47,49,60,60,64,63,73,76,78,82,90,90,92,97,106,110,114,117,120,125
122,0.46989,0.46502,8.97,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,63,73,76,78,82,90,90,92,97,106,110,114,117,120,125
123,0.46966,0.46502,9.03,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,63,73,76,78,82,90,90,92,97,106,110,114,117,121,125
124,0.47035,0.46502,9.11,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,63,73,76,78,82,90,90,92,97,106,110,114,117,121,125
125,0.47012,0.46502,9.18,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,63,73,76,78,82,90,90,92,97,106,110,114,117,121,125
126,0.47149,0.46502,9.25,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,63,73,76,78,82,90,90,92,97,106,110,113,117,121,125
127,0.47286,0.46914,9.31,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,63,73,76,78,82,90,90,92,97,106,110,113,117,121,125
128,0.47378,0.47119,9.39,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,63,73,76,78,82,90,90,92,97,106,110,113,117,121,125
129,0.47561,0.47119,9.45,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,63,73,76,78,82,90,90,92,97,106,110,113,117,121,125
130,0.47607,0.47119,9.51,5,9,14,19,22,24,32,37,38,38,47,49,60,61,64,62,73,76,78,82,90,90,92,97,106,110,113,117,121,125
131,0.47676,0.47325,9.58,5,9,14,19,22,24,32,37,38,38,47,48,60,61,64,62,73,76,78,82,90,90,92,97,106,110,113,117,121,125
132,0.47767,0.47531,9.65,5,9,14,19,22,24,32,38,38,38,47,48,61,61,64,62,73,76,78,82,90,90,92,97,106,110,113,117,121,125
133,0.47859,0.47737,9.71,5,9,14,19,22,24,32,38,38,38,47,48,61,61,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
134,0.48042,0.47737,9.78,5,9,14,19,22,24,32,38,38,38,47,48,61,61,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
135,0.48271,0.47942,9.86,5,9,14,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
136,0.485,0.48148,9.94,5,9,14,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
137,0.48592,0.48148,9.99,5,9,14,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
138,0.48706,0.48354,10.05,5,9,14,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
139,0.48798,0.48354,10.11,5,9,14,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
140,0.48912,0.4856,10.17,5,9,14,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
141,0.49118,0.4856,10.23,5,9,14,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
142,0.49187,0.4856,10.29,5,9,15,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
143,0.4937,0.48765,10.37,5,9,15,19,22,24,32,38,38,38,47,48,61,62,64,62,74,76,78,82,90,90,92,97,106,110,113,117,121,125
144,0.49462,0.48765,10.43,5,9,15,19,22,24,32,38,38,38,47,48,61,62,64,63,74,76,78,82,90,90,92,97,106,110,113,117,121,125
145,0.49622,0.48971,10.51,5,9,15,19,22,24,32,38,38,38,47,48,62,62,64,63,74,76,78,82,90,90,92,97,106,110,113,117,121,125
146,0.49782,0.49177,10.57,5,9,15,19,22,24,32,38,38,38,47,48,62,62,63,63,74,76,79,82,90,90,92,97,106,110,113,117,121,125
147,0.49851,0.49588,10.64,5,9,15,19,22,24,32,38,38,38,47,48,62,63,63,63,74,76,79,82,90,90,92,97,106,110,113,117,121,125
148,0.50172,0.5,10.71,5,9,15,19,22,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,97,106,110,113,117,121,125
149,0.50218,0.50206,10.79,5,9,15,19,22,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,97,106,110,113,117,121,125
150,0.50492,0.50206,10.87,5,9,15,19,23,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
151,0.50584,0.50206,10.94,5,9,15,19,23,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
152,0.50698,0.50206,11.01,5,9,15,19,23,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
153,0.50767,0.50617,11.09,5,9,15,19,23,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
154,0.50905,0.50617,11.2,5,9,15,19,23,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
155,0.51088,0.50823,11.28,5,9,15,19,23,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
156,0.51202,0.51029,11.35,5,9,15,19,23,24,32,38,38,38,48,48,62,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
157,0.51385,0.51029,11.41,5,9,15,19,23,24,32,38,38,38,48,48,63,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
158,0.51477,0.5144,11.48,5,9,15,19,23,24,32,38,38,38,48,48,63,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
159,0.51683,0.51235,11.55,5,9,15,19,23,24,32,38,38,38,48,48,63,63,63,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
160,0.51866,0.51235,11.62,5,9,15,19,23,24,32,38,38,38,48,48,63,63,62,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
161,0.52118,0.5144,11.7,5,9,15,19,23,24,32,38,38,38,48,48,63,63,62,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
162,0.52256,0.51646,11.78,5,9,15,19,23,24,32,38,38,38,49,48,63,63,62,63,75,76,79,82,90,90,92,96,106,110,113,117,121,125
163,0.52462,0.52058,11.85,5,9,15,19,23,24,32,38,38,38,49,48,63,63,62,63,75,77,79,82,90,90,92,96,106,110,113,117,121,125
164,0.52576,0.52058,11.92,5,9,15,19,23,24,32,38,38,38,49,48,63,63,62,63,75,77,79,82,90,90,92,96,106,110,113,117,121,125
165,0.52668,0.52263,11.98,5,9,15,19,23,24,32,38,38,38,49,48,63,63,62,63,75,77,79,82,90,90,92,96,106,110,113,117,121,125
166,0.52805,0.52675,12.07,5,9,15,19,23,24,32,38,38,38,49,48,63,63,62,63,75,77,79,82,90,90,92,96,106,110,113,117,121,125
167,0.52851,0.52881,12.14,5,9,15,19,23,24,32,38,38,38,49,48,63,63,63,63,75,77,79,82,90,90,92,96,106,110,113,117,121,125
168,0.52851,0.52881,12.2,5,9,15,19,23,24,32,38,38,38,49,48,63,63,63,63,75,77,79,82,90,90,92,96,106,110,113,117,121,125
169,0.52988,0.52469,12.28,5,9,15,19,23,24,32,38,38,38,49,48,63,63,63,63,76,77,80,82,90,90,92,96,106,110,113,117,121,125
170,0.53172,0.52675,12.35,5,9,15,19,23,24,32,38,38,38,49,48,63,63,63,63,76,77,80,82,90,90,92,96,106,110,113,117,121,125
171,0.53286,0.52881,12.43,5,9,15,19,23,24,32,38,38,38,49,48,63,63,63,63,76,77,80,82,90,90,92,96,106,110,113,117,121,125
172,0.53309,0.53086,12.5,5,9,15,19,23,24,32,38,38,38,48,48,63,63,63,63,76,77,80,82,90,90,92,96,106,110,113,117,121,125
173,0.53538,0.53292,12.56,5,9,15,19,23,24,32,38,38,38,48,48,63,63,63,63,76,77,80,82,90,90,92,96,106,110,113,117,121,124
174,0.53675,0.53292,12.63,5,9,15,19,23,24,32,38,38,38,48,48,63,63,63,63,76,77,80,82,90,90,92,96,106,110,113,118,121,124
175,0.53858,0.53292,12.69,5,9,15,19,23,24,32,38,38,38,48,48,63,63,63,63,76,77,80,82,90,90,91,96,106,110,113,118,121,124
176,0.54019,0.53704,12.77,5,9,15,18,23,24,32,38,38,38,48,48,63,63,63,63,76,77,80,82,90,90,91,96,106,110,113,118,121,124
177,0.5411,0.53909,12.84,5,9,15,18,23,24,32,38,38,38,48,48,63,63,63,63,76,77,80,82,90,90,91,96,106,110,113,118,121,124
178,0.54294,0.54115,12.91,5,9,15,18,23,24,32,38,38,38,48,48,63,63,63,63,76,77,80,82,90,90,91,96,106,110,113,118,121,124
179,0.54385,0.54115,12.97,5,10,15,18,23,24,33,38,38,38,48,48,63,63,63,63,76,77,80,82,90,90,91,96,106,110,113,118,121,124
