epoch,train_accuracy,validation_accuracy,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20,band_21,band_22,band_23,band_24,band_25,band_26,band_27,band_28,band_29,band_30
0,0.11656,0.1214,0.17,4,8,13,17,21,25,29,34,38,42,46,50,54,59,63,67,71,75,80,84,88,92,96,100,105,109,113,117,121,126
1,0.11656,0.1214,0.25,4,9,13,17,21,25,29,34,38,42,46,50,55,59,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,126
2,0.11656,0.1214,0.34,4,9,13,17,21,25,29,33,38,42,46,50,55,59,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
3,0.11656,0.1214,0.41,4,9,13,17,21,25,29,33,38,42,46,50,55,59,63,67,71,75,79,84,88,92,96,100,105,109,113,117,121,125
4,0.11656,0.1214,0.48,4,9,13,17,21,25,29,33,38,42,46,50,55,58,63,67,71,76,79,84,88,92,96,100,105,109,113,117,121,125
5,0.11656,0.1214,0.57,4,9,13,17,21,25,29,33,38,42,46,50,55,58,63,67,71,76,79,84,88,92,96,100,105,109,113,117,121,125
6,0.11656,0.1214,0.65,4,9,13,17,21,25,29,33,38,42,46,50,55,58,63,67,71,76,79,84,88,92,96,100,105,109,113,117,121,125
7,0.11656,0.1214,0.75,4,9,13,17,21,25,29,33,38,42,46,51,55,58,63,67,71,76,79,84,88,92,96,100,105,109,113,117,121,125
8,0.11656,0.1214,0.82,4,9,13,17,21,25,29,33,38,42,46,51,55,58,63,67,71,76,79,84,88,92,96,100,105,109,113,117,121,125
9,0.11656,0.1214,0.89,4,9,13,17,21,25,29,33,38,42,46,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
10,0.11656,0.1214,0.96,4,9,13,17,21,25,29,33,38,42,46,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
11,0.11656,0.1214,1.04,4,9,13,17,21,25,29,33,38,42,46,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
12,0.11656,0.1214,1.12,4,9,13,17,21,25,29,33,38,42,46,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
13,0.11656,0.1214,1.19,4,9,13,17,21,25,29,33,38,42,47,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
14,0.11656,0.1214,1.27,4,9,13,17,21,25,29,33,38,42,47,51,55,58,63,67,72,76,79,84,88,92,96,100,105,109,113,117,121,125
