epoch,train_accuracy,validation_accuracy,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10
0,0.29379,0.30041,0.2,12,24,35,47,59,71,83,94,106,118
1,0.29379,0.30041,0.22,12,24,35,47,59,71,83,94,106,118
2,0.29379,0.30041,0.25,12,24,35,47,59,71,83,94,106,118
3,0.29379,0.30041,0.27,12,24,35,47,59,71,83,94,106,118
4,0.29379,0.30041,0.3,12,24,35,47,59,71,83,94,106,118
5,0.29379,0.30041,0.33,12,24,35,47,59,71,83,94,106,118
6,0.29379,0.30041,0.37,12,24,35,47,59,71,83,95,106,118
7,0.29379,0.30041,0.39,12,24,35,47,59,71,83,95,106,118
8,0.29379,0.30041,0.42,12,24,35,47,59,71,83,94,106,118
9,0.29379,0.30041,0.45,12,24,35,48,59,70,83,94,106,118
10,0.29379,0.30041,0.47,12,24,35,48,59,70,83,94,106,118
11,0.29379,0.30041,0.5,12,24,35,48,59,70,83,94,106,118
12,0.29379,0.30041,0.53,12,24,35,48,59,70,83,94,106,118
13,0.29379,0.30041,0.57,12,24,35,48,59,70,83,94,106,118
14,0.29379,0.30041,0.59,12,24,35,48,59,70,83,94,106,118
15,0.29379,0.30041,0.62,12,24,35,48,59,70,83,94,106,118
16,0.29379,0.30041,0.65,12,24,35,48,59,70,83,94,106,118
17,0.29379,0.30041,0.68,12,24,35,48,59,70,83,94,106,118
18,0.29379,0.30041,0.71,12,24,35,48,59,70,83,94,106,118
19,0.29379,0.30041,0.74,12,24,35,48,59,70,83,94,106,118
20,0.29379,0.30041,0.76,12,24,36,48,59,70,83,94,106,118
21,0.29379,0.30041,0.79,12,24,36,48,59,70,83,94,106,118
22,0.29379,0.30041,0.81,12,24,36,48,59,70,83,94,106,118
23,0.29379,0.30041,0.83,12,24,36,48,59,70,83,94,106,118
24,0.29379,0.30041,0.86,12,24,36,48,59,70,83,94,106,118
25,0.29379,0.30041,0.89,12,24,36,48,59,70,83,94,106,118
26,0.29379,0.30041,0.92,12,24,36,48,59,70,83,94,106,118
27,0.29379,0.30041,0.94,12,24,36,48,59,70,83,94,106,118
28,0.29379,0.30041,0.96,12,24,36,48,59,70,83,94,106,118
29,0.29379,0.30041,0.99,12,24,36,48,59,70,83,94,106,118
30,0.29379,0.30041,1.02,12,24,36,48,59,70,83,94,106,118
31,0.29379,0.30041,1.05,12,24,36,48,59,70,84,94,106,118
32,0.29379,0.30041,1.08,12,24,36,48,59,70,84,94,106,118
33,0.29379,0.30041,1.1,12,24,36,48,59,70,84,94,106,118
