epoch,train_accuracy,validation_accuracy,time,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,band_13,band_14,band_15,band_16,band_17,band_18,band_19,band_20
0,0.38379,0.36008,0.17,6,12,19,25,31,37,43,49,56,62,68,74,80,86,93,99,105,111,117,124
1,0.38379,0.36008,0.23,6,12,19,25,31,37,43,49,56,62,68,74,80,86,93,99,105,111,117,124
2,0.38379,0.36008,0.28,6,13,19,25,31,37,43,49,56,62,68,74,80,86,93,99,105,111,117,123
3,0.38379,0.36008,0.33,6,13,19,25,31,37,43,49,56,62,68,74,80,86,93,99,105,111,117,123
4,0.38379,0.36008,0.38,6,13,19,25,31,37,43,49,56,62,68,74,80,86,93,99,105,111,117,123
5,0.38379,0.36008,0.42,6,13,19,25,31,37,43,49,56,62,68,74,80,86,93,99,105,111,117,123
6,0.38379,0.36008,0.46,6,13,19,25,31,37,43,49,56,62,68,74,80,86,92,99,105,111,117,123
7,0.38379,0.36008,0.51,6,13,19,25,31,37,43,49,56,62,68,74,80,86,92,99,105,111,117,123
8,0.38379,0.36008,0.56,6,13,18,25,31,37,43,49,56,62,68,74,80,86,92,99,105,111,117,123
9,0.38379,0.36008,0.61,6,13,18,25,31,37,43,49,56,62,68,74,80,86,92,99,105,111,117,123
10,0.38379,0.36008,0.65,6,13,18,25,31,37,43,49,56,62,68,75,80,86,92,99,105,111,117,123
11,0.38379,0.36008,0.69,6,13,18,25,31,37,43,49,56,62,68,75,80,86,92,99,105,111,117,123
12,0.38447,0.36008,0.73,6,13,18,25,31,37,43,49,56,62,68,75,80,86,92,99,105,111,117,123
13,0.38425,0.36008,0.8,6,13,18,25,31,37,43,49,56,62,68,75,80,86,92,99,105,111,117,123
14,0.38425,0.36008,0.87,6,13,18,25,31,37,43,49,56,62,68,75,80,86,92,98,105,111,117,123
15,0.38447,0.36008,0.92,6,13,18,25,31,37,43,49,56,62,69,75,80,86,92,98,105,111,117,123
16,0.3847,0.36214,0.97,6,12,18,25,31,37,43,49,56,62,69,75,80,86,92,98,105,111,117,123
17,0.38447,0.36008,1.02,6,12,18,25,31,37,43,49,56,62,69,75,80,86,92,98,105,111,117,123
18,0.38539,0.35802,1.07,6,12,18,25,31,37,43,49,56,62,69,75,80,86,92,98,105,112,117,123
19,0.38699,0.36008,1.13,6,12,18,25,31,37,43,49,56,62,69,75,80,86,92,98,105,112,117,123
20,0.38768,0.36008,1.21,6,12,18,25,31,37,43,49,56,62,69,75,80,86,92,98,105,112,117,123
21,0.38791,0.36008,1.26,6,12,18,25,31,37,43,49,56,62,69,75,80,86,92,98,105,112,117,123
22,0.38928,0.36008,1.31,6,12,18,25,32,37,43,49,56,63,69,75,80,86,92,98,105,112,117,123
23,0.3902,0.35802,1.36,6,12,18,25,32,37,43,49,56,63,69,75,80,86,92,98,105,112,117,123
24,0.39043,0.36214,1.42,6,12,18,25,32,36,43,49,57,63,69,75,80,86,92,98,105,112,117,123
25,0.39089,0.36626,1.47,6,12,18,25,32,36,43,49,57,63,69,75,80,86,92,98,105,112,117,123
26,0.39318,0.36831,1.51,6,12,18,25,32,36,43,49,57,63,69,75,80,86,92,98,105,112,117,123
27,0.39341,0.37037,1.56,6,12,18,25,32,36,43,49,57,63,69,75,80,86,92,98,105,112,117,123
28,0.39455,0.37449,1.6,6,12,18,25,32,36,43,49,57,63,69,75,80,86,92,98,105,112,117,123
29,0.39524,0.3786,1.65,6,12,18,25,32,36,43,49,57,63,69,75,80,86,92,98,105,112,117,123
30,0.39638,0.37654,1.69,6,12,18,25,32,36,43,49,57,63,69,75,80,86,92,98,105,112,117,123
31,0.39478,0.37243,1.73,6,12,18,25,32,36,43,49,57,63,69,75,80,86,92,98,105,112,117,123
32,0.39386,0.36831,1.77,6,12,18,25,32,36,42,49,57,63,69,75,80,86,92,98,105,112,117,123
33,0.39409,0.36626,1.83,7,12,18,25,32,36,42,49,57,63,69,75,80,86,92,98,105,112,117,123
34,0.39363,0.3642,1.89,7,12,18,25,32,36,42,49,57,63,69,75,80,85,92,98,105,112,117,123
35,0.39226,0.36008,1.93,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,105,112,117,123
36,0.39318,0.35391,1.97,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,105,112,117,123
37,0.39112,0.35597,2.01,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,105,112,117,123
38,0.39066,0.35391,2.06,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,106,112,117,123
39,0.3886,0.35391,2.1,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,106,112,117,123
40,0.38676,0.35391,2.16,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,106,112,117,123
41,0.38631,0.35185,2.21,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,106,112,117,123
42,0.38425,0.35391,2.26,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,106,112,117,123
43,0.3831,0.35391,2.31,7,12,19,25,32,36,42,49,57,63,69,75,80,85,92,98,106,112,117,123
44,0.38264,0.34979,2.36,7,12,19,25,32,36,42,49,57,63,69,75,81,85,92,98,106,112,117,123
45,0.38081,0.34774,2.41,7,12,19,25,32,36,42,49,57,63,69,75,81,85,91,98,106,112,117,123
46,0.37967,0.34362,2.47,7,12,19,25,32,36,42,49,57,63,69,75,81,85,91,98,106,112,117,123
47,0.3776,0.34362,2.52,7,12,19,25,32,36,42,49,57,63,69,74,81,85,91,98,106,112,117,123
48,0.37829,0.34362,2.58,7,12,19,25,32,36,42,49,57,63,69,74,81,85,91,98,106,112,117,123
49,0.37783,0.33951,2.63,7,12,19,25,32,36,42,49,57,63,69,74,81,85,91,98,106,112,117,123
50,0.37783,0.33951,2.67,7,12,19,25,32,36,42,49,57,63,70,74,81,85,91,98,106,112,117,123
51,0.37669,0.33951,2.73,7,12,19,25,32,36,42,49,58,64,70,74,81,85,91,98,106,112,117,123
52,0.37646,0.33951,2.77,7,12,19,25,32,36,42,49,58,64,70,74,81,85,91,98,106,112,117,123
53,0.37646,0.33951,2.82,7,12,19,25,32,36,42,49,58,64,70,74,81,85,91,98,106,112,117,123
54,0.376,0.33745,2.87,7,12,19,25,32,36,42,49,58,64,70,74,81,85,91,98,106,112,117,123
55,0.376,0.33745,2.91,7,12,19,25,32,36,42,49,58,64,70,74,81,85,91,98,106,112,117,123
56,0.3776,0.33745,2.96,7,12,19,25,32,36,42,49,58,64,70,74,81,85,91,98,106,112,117,123
57,0.37806,0.33745,3.0,7,12,19,25,32,36,42,49,58,64,70,74,81,85,91,98,106,112,117,123
58,0.37806,0.33951,3.06,7,12,19,25,32,36,42,49,58,64,70,74,81,84,91,98,106,112,117,123
59,0.37944,0.33951,3.11,7,12,19,25,32,36,42,49,58,64,70,74,81,84,91,98,106,112,117,123
60,0.37921,0.33951,3.15,7,12,19,25,32,35,42,49,58,64,70,74,81,84,91,98,106,112,117,123
61,0.37967,0.33951,3.2,7,12,19,25,32,35,42,49,58,64,70,74,81,84,91,98,106,112,117,123
62,0.37967,0.33951,3.24,7,12,19,25,32,35,42,49,58,64,70,74,81,84,91,98,106,112,117,123
63,0.37898,0.34156,3.31,7,12,19,25,32,35,42,49,58,64,70,74,81,84,91,98,106,112,117,123
64,0.37783,0.34362,3.36,7,12,19,25,32,35,42,49,58,64,70,74,81,84,91,98,106,112,117,123
65,0.3776,0.34568,3.42,7,12,19,25,32,35,42,49,58,64,70,74,82,84,91,97,106,112,117,123
66,0.37852,0.34362,3.47,7,12,19,24,33,35,42,49,58,64,70,74,82,84,91,97,106,112,117,123
67,0.37921,0.34156,3.51,7,12,19,24,33,35,42,49,58,64,70,73,82,84,91,97,106,112,117,123
68,0.38012,0.34362,3.55,7,12,19,24,33,35,42,49,58,64,70,73,82,84,91,97,106,112,117,123
69,0.38173,0.34774,3.59,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,117,123
70,0.38104,0.35185,3.65,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
71,0.38127,0.35391,3.7,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
72,0.3831,0.35597,3.76,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
73,0.38928,0.36626,3.84,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
74,0.39318,0.37037,3.88,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
75,0.39798,0.38272,3.93,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
76,0.40737,0.39712,3.98,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
77,0.41356,0.40535,4.03,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
78,0.42043,0.41358,4.1,7,12,19,24,33,35,41,49,59,64,70,73,82,84,91,97,106,112,116,123
79,0.42867,0.42387,4.15,7,12,19,24,33,35,41,49,59,64,70,73,82,83,91,97,106,112,116,123
80,0.44218,0.43827,4.2,7,12,19,24,33,35,41,49,59,64,70,73,82,83,90,97,106,112,116,123
81,0.45042,0.45062,4.25,7,12,19,24,33,35,41,49,59,64,70,73,82,83,90,97,106,112,116,123
82,0.45935,0.45267,4.3,7,12,19,24,33,35,41,49,59,64,70,73,82,83,90,97,106,112,116,123
83,0.46531,0.45885,4.34,7,12,19,24,33,35,41,49,59,64,70,73,82,83,90,97,106,112,116,123
84,0.47103,0.45885,4.39,7,12,19,24,33,35,41,49,59,64,70,73,82,83,90,97,106,112,116,123
85,0.47218,0.46296,4.45,7,12,19,24,33,35,41,49,59,64,70,73,82,83,90,97,106,112,116,123
86,0.47355,0.46502,4.5,7,11,20,24,33,35,41,49,59,64,70,73,82,83,90,97,106,112,116,123
87,0.47035,0.46502,4.54,7,11,20,24,33,35,41,49,59,64,70,73,82,83,90,97,106,112,116,123
88,0.46943,0.46708,4.59,7,11,20,24,33,35,41,49,59,64,70,73,83,83,90,97,106,112,116,123
89,0.46897,0.46502,4.64,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,97,106,112,116,123
90,0.46897,0.46502,4.69,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,97,106,112,116,123
91,0.46897,0.46502,4.75,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,97,106,112,116,123
92,0.47035,0.46296,4.8,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,97,106,112,116,123
93,0.47172,0.46091,4.84,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,97,106,112,116,123
94,0.47447,0.46502,4.91,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,97,106,112,116,123
95,0.47332,0.45679,4.99,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,97,106,112,116,123
96,0.47149,0.45062,5.04,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,96,106,112,116,123
97,0.46508,0.45062,5.11,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,96,106,112,116,123
98,0.4589,0.45062,5.16,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,96,106,112,116,123
99,0.45226,0.45473,5.21,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,96,106,112,116,123
100,0.43875,0.4321,5.26,7,11,20,24,33,35,40,49,59,64,70,73,83,83,90,96,106,112,116,123
101,0.42523,0.4177,5.31,7,11,20,24,33,35,40,49,59,64,71,73,83,82,90,96,106,112,116,123
